year,quarter,pred_name,stratum_area,size,area_size_fac
1981,2,COD,4,100,0
1981,2,COD,4,120,0
1981,2,COD,4,150,3.111111111
1981,2,COD,4,200,3.388888889
1981,2,COD,4,250,1.555555556
1981,2,COD,4,300,1.944444444
1981,2,COD,4,350,1.203703704
1981,2,COD,4,400,1.481481482
1981,2,COD,4,500,0.555555556
1981,2,COD,4,600,0.111111111
1981,2,COD,4,700,0.277777778
1981,2,COD,4,800,0.444444444
1981,2,COD,4,1000,0
1981,2,COD,4,1200,0
1981,2,COD,5,30,0
1981,2,COD,5,40,0
1981,2,COD,5,50,0
1981,2,COD,5,60,0
1981,2,COD,5,70,0
1981,2,COD,5,80,0
1981,2,COD,5,100,0
1981,2,COD,5,120,0
1981,2,COD,5,150,0
1981,2,COD,5,200,0
1981,2,COD,5,250,0.190476191
1981,2,COD,5,300,0.333333333
1981,2,COD,5,350,0.095238095
1981,2,COD,5,400,0.190476191
1981,2,COD,5,500,1.785714286
1981,2,COD,5,600,1.428571429
1981,2,COD,5,700,0.952380952
1981,2,COD,5,800,0.380952381
1981,2,COD,5,1000,0.095238095
1981,2,COD,5,1200,0
1981,2,COD,6,30,0.914285714
1981,2,COD,6,40,2.742857143
1981,2,COD,6,50,0.742857143
1981,2,COD,6,60,0
1981,2,COD,6,70,0
1981,2,COD,6,80,0
1981,2,COD,6,100,0
1981,2,COD,6,120,0.038095238
1981,2,COD,6,150,2.738095238
1981,2,COD,6,200,10.71190476
1981,2,COD,6,250,8.376190476
1981,2,COD,6,300,3.921428571
1981,2,COD,6,350,0.533333333
1981,2,COD,6,400,0.976190476
1981,2,COD,6,500,1.564285714
1981,2,COD,6,600,1.138095238
1981,2,COD,6,700,0.566666667
1981,2,COD,6,800,0.157142857
1981,2,COD,6,1000,0.076190476
1981,2,COD,6,1200,0.00952381
1981,2,COD,7,30,0
1981,2,COD,7,40,1.512820513
1981,2,COD,7,50,11.94871795
1981,2,COD,7,60,6.41025641
1981,2,COD,7,70,0.615384615
1981,2,COD,7,80,0.538461539
1981,2,COD,7,100,0
1981,2,COD,7,120,0.153846154
1981,2,COD,7,150,9.487179487
1981,2,COD,7,200,18.74358974
1981,2,COD,7,250,6.358974359
1981,2,COD,7,300,1.602564103
1981,2,COD,7,350,3.102564103
1981,2,COD,7,400,4.512820513
1981,2,COD,7,500,2.794871795
1981,2,COD,7,600,0.794871795
1981,2,COD,7,700,0.871794872
1981,2,COD,7,800,0.923076923
1981,2,COD,7,1000,0.205128205
1981,2,COD,7,1200,0
1981,2,COD,8,30,0
1981,2,COD,8,40,0
1981,2,COD,8,50,0
1981,2,COD,8,60,0
1981,2,COD,8,70,0
1981,2,COD,8,80,0
1981,2,COD,8,100,0
1981,2,COD,8,120,2.111111111
1981,2,COD,8,150,19.11111111
1981,2,COD,8,200,19.22222222
1981,2,COD,8,250,3.074074074
1981,2,COD,8,300,1.87037037
1981,2,COD,8,350,2.296296296
1981,2,COD,8,400,5.037037037
1981,2,COD,8,500,1.851851852
1981,2,COD,8,600,2.203703704
1981,2,COD,8,700,1.462962963
1981,2,COD,8,800,0.833333333
1981,2,COD,8,1000,0
1981,2,COD,8,1200,0
1981,2,COD,9,30,0
1981,2,COD,9,40,0
1981,2,COD,9,50,0
1981,2,COD,9,60,0
1981,2,COD,9,70,0
1981,2,COD,9,80,0
1981,2,COD,9,100,0
1981,2,COD,9,120,0.35
1981,2,COD,9,150,9.016666667
1981,2,COD,9,200,20.38333333
1981,2,COD,9,250,24.52916667
1981,2,COD,9,300,44.03333333
1981,2,COD,9,350,28.68333333
1981,2,COD,9,400,12.25833333
1981,2,COD,9,500,1.170833333
1981,2,COD,9,600,1.175
1981,2,COD,9,700,0.333333333
1981,2,COD,9,800,0
1981,2,COD,9,1000,0
1981,2,COD,9,1200,0
1981,2,GUR,1,60,0
1981,2,GUR,1,70,0
1981,2,GUR,1,80,0.097560976
1981,2,GUR,1,100,0.170731707
1981,2,GUR,1,120,0.195121951
1981,2,GUR,1,150,10.51219512
1981,2,GUR,1,200,10.14634146
1981,2,GUR,1,250,2.390243902
1981,2,GUR,1,300,0.536585366
1981,2,GUR,1,350,0.12195122
1981,2,GUR,1,400,0.097560976
1981,2,GUR,2,60,0
1981,2,GUR,2,70,0.133333333
1981,2,GUR,2,80,0.666666667
1981,2,GUR,2,100,0.933333333
1981,2,GUR,2,120,1.3
1981,2,GUR,2,150,25.28333333
1981,2,GUR,2,200,16.81666667
1981,2,GUR,2,250,3.016666667
1981,2,GUR,2,300,1.733333333
1981,2,GUR,2,350,0.683333333
1981,2,GUR,2,400,0.133333333
1981,2,GUR,3,60,0
1981,2,GUR,3,70,0.052631579
