

Observed catches

Species: Cod        



Age             1974      1975      1976      1977      1978      1979      1980      1981
SSB           172686    138245     93084    120756    160004    252545    149554     88547


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1  25611655  49690589  37141353  31014554  31692985  33195484  39063454 100047789
         2   5430977   4119930  10086535   6818719   4441123   5767870   5087317   6801030
         3    519116    436561    540769    988007    462536    409035    430717    470786

TSB           317016    248415    224422    214843    392789    199341    365266    389196
SSB           172574    118313    135292    125413    200006    106557    183138    182722


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1  29133600  36540093  28099478  79902580  62684859  62578399  40646587  33035990
         2  18188271   3895792   7184969   5558962  20996162  15435374  10986489   6762726
         3    804816    999179    632517    992533   1436297   4269941   2514866   1714020

TSB           312955    370994    176956    661391    447323    482655    507422    188142
SSB           196899    186599     98841    310652    265267    270987    298564    107157


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1 101777282  97714928  62151477  64230259 102614338  89349813  68818066  54670159
         2   6309967  33016917  20105386   5381078  13552311  19475889  19560116  11949026
         3   1080748   2421022   4465499    719175   1038408   1920016   3837336   2898107

TSB           987502    744639    397474    257088    446052    455408    408752    296741
SSB           457691    442065    256006    127552    234493    263400    255268    178277
Species: Plaice     



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1   2761513   1831822   1480314   2142242   1753438   1842208   2477276   2146971
         2   2079952   1513335    984257    815670   1169370    966476    963898   1337027
         3    295958   1101940    766723    527945    428308    627696    461066    493323
         4    191426    158026    558221    415403    278958    232253    296223    236369
         5    156630    102628     79971    304099    220163    152110    108745    151880
         6    101834     85842     53115     44529    164773    122706     72881     57016
         7     47907     58561     46916     30978     25349     96181     62621     40294
         8     35012     29237     34275     28966     18749     15661     53211     37000
         9     31926     21530     17243     21323     17664     11672      8730     31680
        10    123527     96846     70738     55454     47411     41024     29757     23211

TSB           774752    836636    815755    799699    771675    758704    733384    683184
SSB           498129    511509    524560    517602    502852    477015    466816    442615


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1   4641231   3140443   2935688   3754056   9132399   4286957   4322749   3146756
         2   1153083   2458974   1673862   1555785   2012302   4743292   2219793   2218600
         3    676723    565891   1223306    821980    783994    944107   2209992   1013709
         4    249614    330193    280575    597323    413764    362785    433316    990637
         5    119463    121228    163206    136374    300184    189601    164755    191753
         6     78505     59355     61292     81153     70095    140786     88134     74641
         7     31126     41378     31773     32328     44082     35099     69940     42795
         8     23562     17683     23808     18060     18826     24010     18993     37143
         9     21801     13488     10252     13636     10598     10332     13092     10164
        10     32683     31555     26439     21280     20730     17403     15303     15367

TSB           810473    885423    916584    955607   1211154   1186108   1050256    958785
SSB           429306    518256    535590    566491    595646    688344    596918    626706


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1   2707580   2568288   2192866   1395816   1286298   1983897   1945619   5511908
         2   1646357   1531260   1433943   1218059    777943    716684   1110139   1076222
         3   1058230    802107    705662    646272    557043    355296    333485    491375
         4    478298    512282    363710    311714    290420    249931    162949    144215
         5    463733    229500    228656    157712    137754    128122    112968     69018
         6     91856    222037    101840     98426     69255     60381     57610     47441
         7     38085     45204    101507     45205     44542     31286     27960     24968
         8     23672     21787     24605     54163     24438     24051     17177     14680
         9     20702     13645     11949     13229     29503     13296     13305      9087
        10     14397     20444     18916     16791     16540     25304     21613     18693

TSB           865048    831007    707005    612342    523344    512307    471539    576983
SSB           566595    533638    455745    402865    340722    317105    282804    264939


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1   2108341   1918920   2160014   1321200   3741116   1216647   2559647   1767808
         2   3013803   1170896   1064158   1228894    740137   2106885    691284   1485569
         3    453056   1357243    524011    532024    574600    354084   1047410    376755
         4    200323    199945    594590    261491    245395    272263    175527    578491
         5     57226     86776     85910    295042    118940    114990    134113     97438
         6     27063     24607     36995     42612    133547     55548     56598     74848
         7     19239     12001     10821     18839     19859     64153     28077     32311
         8     12534     10258      6363      6335     10388     11177     37368     17754
         9      7426      6734      5481      3754      3520      5891      6560     23810
        10     14225     11774     10007      9246      7313      6219      7187      8857

TSB           560770    534578    514452    540985    578262    564754    584532    583448
SSB           311703    295077    304660    331695    293825    338285    318869    370329


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1   1922682   3024705   2615114   2490738   3136921   3664589   3043542   3262626
         2   1026730   1118319   1730431   1520470   1440099   1825647   2109705   1755506
         3    812138    564875    618451   1006482    869086    840184   1029599   1196889
         4    208837    453548    311797    363870    579260    513317    475403    586977
         5    322418    117359    247223    183200    208327    341905    288078    269169
         6     54609    182275     65663    148855    107547    125996    196830    167282
         7     42905     31568    109267     41769     92767     68658     77291    121590
         8     20488     27361     21107     75605     28561     64322     46521     52583
         9     11344     13165     18434     14716     52092     19954     43916     31891
        10     21070     21080     23346     29463     30811     58511     54256     68067

TSB           641355    641670    733002    838769    911822    873842    871630    910359
SSB           397485    381134    448234    524955    584256    561083    542163    584585


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1   3390053   1887487   2046378   2839631   1874362   4141985   2529940   2082657
         2   1895191   1962972   1087926   1169910   1643563   1077895   2411461   1473707
         3   1018121   1088294   1111185    600328    670925    923760    629584   1410824
         4    701629    589397    618707    611652    346956    378000    546398    373172
         5    343407    404478    332616    336153    351918    193731    223491    323848
         6    161390    202956    234120    185510    198288    201593    117363    135716
         7    106048    101127    125048    139985    116061    121152    128870     75170
         8     83966     72743     68696     83487     95936     78459     84067     89523
         9     36589     58035     49791     46214     57652     65349     54859     58845
        10     70411     74854     92007     96545     99793    108534    123028    126059

TSB           978141    735062    697687    678345    594524    580140    592810    631582
SSB           636437    560668    535389    507494    435539    401022    421213    438649
Species: Sole       



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1    101997     46939    106208    132988     48773     14336    142282    149271
         2    102551     92106     42386     95919    120125     44039     12945    128473
         3     49014     75868     67916     31701     72987     87890     32333      9496
         4     11785     25095     38484     35861     17576     36216     44042     16162
         5     19526      5883     12406     19839     19454      8491     17677     21441
         6      5064     10879      3252      7096     11828     10553      4645      9649
         7      4857      2923      6235      1924      4362      6662      5990      2631
         8      2578      3096      1853      4051      1288      2728      4191      3763
         9      1417      1643      1963      1204      2712       805      1716      2633
        10     19028     13034      9304      7320      5707      5265      3819      3477

TSB            59652     58645     52736     53985     58583     53463     44002     50376
SSB            41110     43370     43000     35231     40178     46300     36421     25312


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1    139152    141472     73864     88749    142289     65707    478217    107344
         2    134786    125616    127727     66667     80114    128417     59328    431773
         3     94376     96451     91101     89709     47578     55942     93941     43195
         4      4766     43979     46682     40270     41490     20690     27746     45973
         5      7901      2156     20701     19987     18077     17463      9990     13212
         6     11744      4063      1145     10177     10212      8764      9469      5356
         7      5484      6295      2244       589      5422      5183      4934      5275
         8      1657      3299      3877      1307       353      3126      3240      3059
         9      2370       997      2032      2258       783       203      1955      2009
        10      3848      3741      2918      2883      3079      2226      1519      2154

TSB            58638     66363     65805     54750     54375     53711     69903     96737
SSB            34158     41704     45124     41846     36606     30650     38101     33944


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1    215074     80254    381296     79493     56289     93096     58653    237351
         2     96956    191237     71217    338496     70457     49820     82509     51535
         3    326549     72513    139946     52345    244495     50108     35960     54193
         4     23539    194137     41090     80072     28820    130088     27546     16056
         5     24493     12764     99289     21264     39539     13650     64117     10536
         6      7762     13160      6461     50868     10386     18510      6655     24146
         7      3248      4330      6947      3449     25977      5099      9436      2670
         8      3495      1898      2408      3902      1861     13528      2747      4095
         9      2027      2043      1056      1352      2106       969      7289      1192
        10      2758      2796      2691      2104      1865      2068      1636      3873

TSB           116324    108174    106875    100695     86713     70110     54427     47732
SSB            91221     77580     76701     53393     73824     57933     39365     28134


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1    107233     86844    116629     63615    174067     80685     43963     47661
         2    209495     94489     76739    102808     56320    154112     71459     38947
         3     35567    141956     66021     52218     73340     40194    110381     51343
         4     26987     17010     72641     31868     27972     39324     21722     60070
         5      7015     11224      7682     30555     15219     13374     18983     10575
         6      4543      2877      5006      3187     14425      7193      6383      9139
         7     10985      1973      1350      2197      1577      7145      3596      3216
         8      1298      5120       987       636      1152       828      3782      1917
         9      1990       605      2560       464       333       605       438      2016
        10      2462      2075      1340      1836      1206       808       748       632

TSB            56054     54204     50759     45954     47582     52569     48760     39512
SSB            21363     37484     34261     27969     30712     26034     36772     31286


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1    170809     68076     65737     81254    164586    206918     52556     89640
         2     42154    151573     60395     58486     72111    145731    183709     46542
         3     27488     30843    110610     45459     42841     51517    107226    131473
         4     26863     15571     17370     66694     25815     23023     29544     57845
         5     27875     13733      7904      9583     34200     12377     11948     14231
         6      4849     14105      6899      4322      4864     16210      6359      5690
         7      4401      2559      7393      3912      2287      2415      8676      3172
         8      1646      2446      1414      4385      2180      1203      1360      4584
         9       981       915      1352       839      2444      1147       678       718
        10      1356      1299      1223      1527      1318      1980      1761      1288

TSB            38822     44134     45415     43317     47199     55443     40659     40479
SSB            24042     17692     32827     30949     28225     24549     28690     34266


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1    135376     94553     61557     99372     74364    199171     31553     59042
         2     79526    120160     83999     54482     87911     65758    175637     28008
         3     33966     58346     89007     59733     38553     61913     44939    128962
         4     74048     19356     33959     47348     31433     20075     30170     25654
         5     29366     38134     10228     16081     22126     14502      8542     15570
         6      7150     14971     19956      4787      7426     10085      6087      4364
         7      2983      3799      8150      9796      2321      3556      4475      3241
         8      1753      1668      2172      4244      5043      1182      1690      2507
         9      2533       980       954      1131      2185      2568       562       947
        10      1109      2037      1725      1395      1300      1775      2064      1471

TSB            38375     41725     36508     31191     29654     27792     31491     34062
SSB            29115     26095     30264     25073     20336     17582     16789     28600

Fishing mortality

Species: Cod        



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.3343    0.3521    0.3882    0.3768    0.4418    0.3583    0.4098    0.4105
         2    0.7586    0.7989    0.8810    0.8550    1.0026    0.8131    0.9299    0.9315
         3    0.7807    0.8223    0.9067    0.8800    1.0319    0.8369    0.9571    0.9587
         4    0.6600    0.6951    0.7665    0.7439    0.8723    0.7074    0.8090    0.8104
         5    0.5928    0.6243    0.6885    0.6682    0.7835    0.6354    0.7267    0.7279
         6    0.5928    0.6244    0.6885    0.6682    0.7836    0.6355    0.7267    0.7280
         7    0.6373    0.6712    0.7401    0.7183    0.8423    0.6831    0.7812    0.7825
         8    0.5991    0.6310    0.6958    0.6754    0.7919    0.6422    0.7345    0.7357
         9    0.6675    0.7030    0.7752    0.7524    0.8822    0.7155    0.8182    0.8196
        10    0.6675    0.7030    0.7752    0.7524    0.8822    0.7155    0.8182    0.8196

Avg. F 2-4     0.733     0.772     0.851     0.826     0.969     0.786     0.899     0.900


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.4361    0.4397    0.4123    0.4137    0.4487    0.4343    0.4372    0.4498
         2    0.9895    0.9977    0.9356    0.9387    1.0183    0.9855    0.9922    1.0208
         3    1.0185    1.0269    0.9629    0.9661    1.0481    1.0143    1.0212    1.0506
         4    0.8609    0.8680    0.8140    0.8167    0.8859    0.8574    0.8632    0.8881
         5    0.7733    0.7797    0.7311    0.7336    0.7958    0.7702    0.7753    0.7977
         6    0.7734    0.7797    0.7312    0.7336    0.7958    0.7702    0.7754    0.7977
         7    0.8313    0.8382    0.7860    0.7886    0.8555    0.8279    0.8335    0.8575
         8    0.7816    0.7880    0.7390    0.7414    0.8043    0.7784    0.7837    0.8062
         9    0.8707    0.8779    0.8232    0.8260    0.8960    0.8672    0.8730    0.8982
        10    0.8707    0.8779    0.8232    0.8260    0.8960    0.8672    0.8730    0.8982

Avg. F 2-4     0.956     0.964     0.904     0.907     0.984     0.952     0.959     0.986


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.4277    0.4248    0.4120    0.1804    0.1720    0.1636    0.1751    0.1686
         2    0.9706    0.9639    0.9350    0.8068    0.7694    0.7315    0.7831    0.7538
         3    0.9990    0.9921    0.9623    1.0738    1.0241    0.9736    1.0423    1.0033
         4    0.8445    0.8386    0.8135    0.9964    0.9502    0.9034    0.9671    0.9309
         5    0.7585    0.7533    0.7307    0.9047    0.8627    0.8202    0.8781    0.8453
         6    0.7586    0.7533    0.7307    0.8166    0.7787    0.7404    0.7926    0.7630
         7    0.8154    0.8098    0.7855    0.8891    0.8479    0.8062    0.8630    0.8308
         8    0.7667    0.7613    0.7385    0.8409    0.8019    0.7624    0.8162    0.7857
         9    0.8541    0.8482    0.8227    0.9357    0.8923    0.8484    0.9082    0.8742
        10    0.8541    0.8482    0.8227    0.9357    0.8923    0.8484    0.9082    0.8742

Avg. F 2-4     0.938     0.932     0.904     0.959     0.915     0.869     0.931     0.896


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.2241    0.2257    0.2264    0.1604    0.2123    0.1334    0.1417    0.1409
         2    1.0023    1.0095    1.0125    0.7173    0.9492    0.5967    0.6336    0.6301
         3    1.3341    1.3437    1.3476    0.9548    1.2634    0.7943    0.8434    0.8387
         4    1.2378    1.2467    1.2504    0.8859    1.1722    0.7370    0.7825    0.7782
         5    1.1239    1.1320    1.1353    0.8044    1.0643    0.6692    0.7105    0.7066
         6    1.0145    1.0218    1.0248    0.7261    0.9607    0.6040    0.6413    0.6378
         7    1.1047    1.1126    1.1158    0.7906    1.0461    0.6577    0.6983    0.6944
         8    1.0447    1.0522    1.0553    0.7477    0.9893    0.6220    0.6604    0.6568
         9    1.1625    1.1708    1.1742    0.8320    1.1008    0.6921    0.7349    0.7308
        10    1.1625    1.1708    1.1742    0.8320    1.1008    0.6921    0.7349    0.7308

Avg. F 2-4     1.191     1.200     1.203     0.853     1.128     0.709     0.753     0.749


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.1445    0.0826    0.0904    0.0899    0.0768    0.0576    0.0536    0.0501
         2    0.6462    0.3747    0.4100    0.4076    0.3483    0.2611    0.2431    0.2273
         3    0.8601    0.6939    0.7594    0.7549    0.6451    0.4836    0.4502    0.4211
         4    0.7980    0.7195    0.7874    0.7828    0.6689    0.5015    0.4668    0.4366
         5    0.7246    0.7734    0.8464    0.8415    0.7190    0.5391    0.5018    0.4693
         6    0.6540    0.6950    0.7606    0.7561    0.6461    0.4844    0.4509    0.4217
         7    0.7121    0.5635    0.6166    0.6130    0.5238    0.3927    0.3656    0.3419
         8    0.6735    0.3883    0.4250    0.4225    0.3610    0.2707    0.2520    0.2356
         9    0.7494    0.1663    0.1820    0.1809    0.1546    0.1159    0.1079    0.1009
        10    0.7494    0.1663    0.1820    0.1809    0.1546    0.1159    0.1079    0.1009

Avg. F 2-4     0.768     0.596     0.652     0.648     0.554     0.415     0.387     0.362


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0481    0.0498    0.0505    0.0556    0.0799    0.0679    0.0504    0.0316
         2    0.2182    0.2257    0.2288    0.2521    0.3622    0.3081    0.2286    0.1434
         3    0.4042    0.4180    0.4238    0.4669    0.6708    0.5706    0.4234    0.2657
         4    0.4191    0.4335    0.4394    0.4841    0.6955    0.5916    0.4390    0.2755
         5    0.4505    0.4660    0.4723    0.5205    0.7477    0.6360    0.4719    0.2961
         6    0.4048    0.4187    0.4244    0.4677    0.6718    0.5715    0.4240    0.2661
         7    0.3282    0.3395    0.3441    0.3792    0.5447    0.4633    0.3438    0.2157
         8    0.2262    0.2340    0.2372    0.2613    0.3754    0.3193    0.2369    0.1487
         9    0.0968    0.1002    0.1015    0.1119    0.1607    0.1367    0.1014    0.0637
        10    0.0968    0.1002    0.1015    0.1119    0.1607    0.1367    0.1014    0.0637

Avg. F 2-4     0.347     0.359     0.364     0.401     0.576     0.490     0.364     0.228
Species: Whiting    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0367    0.0376    0.0343    0.0293    0.0217    0.0261    0.0230    0.0234
         1    0.1862    0.1908    0.1740    0.1486    0.1102    0.1322    0.1168    0.1186
         2    0.4880    0.5000    0.4560    0.3895    0.2889    0.3464    0.3060    0.3108
         3    0.8221    0.8422    0.7681    0.6562    0.4866    0.5834    0.5155    0.5236
         4    1.0364    1.0619    0.9684    0.8273    0.6135    0.7356    0.6499    0.6601
         5    1.1594    1.1879    1.0834    0.9254    0.6863    0.8229    0.7270    0.7385
         6    1.1594    1.1879    1.0834    0.9254    0.6863    0.8229    0.7270    0.7385

Avg. F 2-5     0.876     0.898     0.819     0.700     0.519     0.622     0.550     0.558


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0193    0.0263    0.0292    0.0234    0.0328    0.0263    0.0232    0.0191
         1    0.0976    0.1334    0.1482    0.1185    0.1663    0.1333    0.1175    0.0967
         2    0.2559    0.3496    0.3884    0.3106    0.4360    0.3494    0.3080    0.2535
         3    0.4310    0.5889    0.6542    0.5232    0.7344    0.5886    0.5188    0.4270
         4    0.5435    0.7425    0.8249    0.6596    0.9259    0.7420    0.6540    0.5383
         5    0.6079    0.8306    0.9227    0.7379    1.0358    0.8301    0.7317    0.6022
         6    0.6079    0.8306    0.9227    0.7379    1.0358    0.8301    0.7317    0.6022

Avg. F 2-5     0.460     0.628     0.698     0.558     0.783     0.628     0.553     0.455


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0202    0.0169    0.0203    0.0228    0.0200    0.0150    0.0137    0.0120
         1    0.1024    0.0973    0.1172    0.1316    0.1151    0.0867    0.0788    0.0693
         2    0.2684    0.2626    0.3162    0.3552    0.3107    0.2339    0.2126    0.1871
         3    0.4520    0.3879    0.4670    0.5246    0.4589    0.3454    0.3140    0.2764
         4    0.5699    0.4226    0.5087    0.5715    0.4998    0.3763    0.3420    0.3011
         5    0.6375    0.3309    0.3984    0.4475    0.3914    0.2947    0.2678    0.2358
         6    0.6375    0.3309    0.3984    0.4475    0.3914    0.2947    0.2678    0.2358

Avg. F 2-5     0.482     0.351     0.423     0.475     0.415     0.313     0.284     0.250


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0105    0.0143    0.0126    0.0075    0.0067    0.0095    0.0080    0.0076
         1    0.0605    0.0827    0.0725    0.0433    0.0385    0.0547    0.0463    0.0441
         2    0.1633    0.2233    0.1956    0.1168    0.1039    0.1477    0.1250    0.1190
         3    0.2412    0.3298    0.2889    0.1726    0.1534    0.2182    0.1846    0.1758
         4    0.2627    0.3593    0.3146    0.1880    0.1671    0.2377    0.2011    0.1915
         5    0.2057    0.2813    0.2464    0.1472    0.1309    0.1861    0.1575    0.1500
         6    0.2057    0.2813    0.2464    0.1472    0.1309    0.1861    0.1575    0.1500

Avg. F 2-5     0.218     0.298     0.261     0.156     0.139     0.197     0.167     0.159


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0100    0.0016    0.0015    0.0014    0.0014    0.0012    0.0012    0.0011
         1    0.0575    0.0404    0.0391    0.0361    0.0352    0.0298    0.0315    0.0275
         2    0.1552    0.1083    0.1050    0.0968    0.0944    0.0800    0.0844    0.0737
         3    0.2292    0.1887    0.1830    0.1686    0.1644    0.1393    0.1471    0.1283
         4    0.2497    0.2302    0.2233    0.2058    0.2006    0.1700    0.1794    0.1566
         5    0.1955    0.2279    0.2210    0.2037    0.1985    0.1683    0.1776    0.1550
         6    0.1955    0.2279    0.2210    0.2037    0.1985    0.1683    0.1776    0.1550

Avg. F 2-5     0.207     0.189     0.183     0.169     0.164     0.139     0.147     0.128


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0012    0.0015    0.0013    0.0010    0.0010    0.0011    0.0009    0.0007
         1    0.0297    0.0375    0.0338    0.0259    0.0249    0.0271    0.0228    0.0168
         2    0.0798    0.1007    0.0906    0.0696    0.0668    0.0728    0.0611    0.0451
         3    0.1390    0.1754    0.1579    0.1213    0.1164    0.1268    0.1064    0.0786
         4    0.1696    0.2140    0.1926    0.1480    0.1421    0.1547    0.1298    0.0959
         5    0.1679    0.2119    0.1907    0.1465    0.1406    0.1532    0.1285    0.0950
         6    0.1679    0.2119    0.1907    0.1465    0.1406    0.1532    0.1285    0.0950

Avg. F 2-5     0.139     0.175     0.158     0.121     0.117     0.127     0.106     0.079
Species: Haddock    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0345    0.0427    0.0388    0.0373    0.0400    0.0407    0.0381    0.0277
         1    0.1585    0.1961    0.1783    0.1715    0.1839    0.1869    0.1749    0.1275
         2    0.5250    0.6497    0.5906    0.5682    0.6093    0.6193    0.5793    0.4223
         3    0.8673    1.0734    0.9758    0.9388    1.0066    1.0232    0.9571    0.6978
         4    0.8361    1.0347    0.9406    0.9049    0.9703    0.9863    0.9226    0.6726
         5    0.8345    1.0328    0.9388    0.9033    0.9685    0.9845    0.9209    0.6714
         6    0.8099    1.0024    0.9112    0.8766    0.9400    0.9554    0.8937    0.6516
         7    0.7041    0.8714    0.7922    0.7621    0.8172    0.8307    0.7770    0.5665
         8    0.7041    0.8714    0.7922    0.7621    0.8172    0.8307    0.7770    0.5665
         9    0.7041    0.8714    0.7922    0.7621    0.8172    0.8307    0.7770    0.5665
        10    0.7041    0.8714    0.7922    0.7621    0.8172    0.8307    0.7770    0.5665

Avg. F 2-4     0.743     0.919     0.836     0.804     0.862     0.876     0.820     0.598


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0267    0.0353    0.0417    0.0183    0.0189    0.0213    0.0209    0.0206
         1    0.1225    0.1623    0.1918    0.1673    0.1734    0.1952    0.1919    0.1889
         2    0.4057    0.5375    0.6354    0.6778    0.7025    0.7909    0.7772    0.7651
         3    0.6702    0.8881    1.0498    0.9215    0.9551    1.0753    1.0566    1.0402
         4    0.6461    0.8560    1.0119    0.9691    1.0045    1.1309    1.1113    1.0939
         5    0.6449    0.8545    1.0101    0.9670    1.0023    1.1284    1.1089    1.0916
         6    0.6259    0.8293    0.9803    0.8208    0.8507    0.9577    0.9412    0.9265
         7    0.5441    0.7210    0.8523    0.7469    0.7741    0.8715    0.8564    0.8431
         8    0.5441    0.7210    0.8523    0.7469    0.7741    0.8715    0.8564    0.8431
         9    0.5441    0.7210    0.8523    0.7469    0.7741    0.8715    0.8564    0.8431
        10    0.5441    0.7210    0.8523    0.7469    0.7741    0.8715    0.8564    0.8431

Avg. F 2-4     0.574     0.761     0.899     0.856     0.887     0.999     0.982     0.966


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0193    0.0199    0.0175    0.0217    0.0196    0.0174    0.0207    0.0157
         1    0.1768    0.1827    0.1605    0.1992    0.1793    0.1596    0.1893    0.1436
         2    0.7161    0.7400    0.6500    0.8070    0.7264    0.6464    0.7668    0.5819
         3    0.9735    1.0060    0.8837    1.0972    0.9875    0.8788    1.0424    0.7910
         4    1.0239    1.0580    0.9294    1.1539    1.0386    0.9242    1.0963    0.8319
         5    1.0217    1.0557    0.9274    1.1514    1.0364    0.9222    1.0940    0.8301
         6    0.8671    0.8961    0.7871    0.9772    0.8796    0.7827    0.9285    0.7046
         7    0.7891    0.8154    0.7163    0.8893    0.8004    0.7123    0.8449    0.6412
         8    0.7891    0.8154    0.7163    0.8893    0.8004    0.7123    0.8449    0.6412
         9    0.7891    0.8154    0.7163    0.8893    0.8004    0.7123    0.8449    0.6412
        10    0.7891    0.8154    0.7163    0.8893    0.8004    0.7123    0.8449    0.6412

Avg. F 2-4     0.905     0.935     0.821     1.019     0.918     0.816     0.969     0.735


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0170    0.0212    0.0076    0.0061    0.0056    0.0030    0.0033    0.0035
         1    0.1553    0.1943    0.1196    0.0970    0.0879    0.0476    0.0518    0.0552
         2    0.6292    0.7870    0.5052    0.4097    0.3712    0.2012    0.2188    0.2331
         3    0.8553    1.0699    0.9442    0.7657    0.6939    0.3760    0.4089    0.4357
         4    0.8996    1.1252    1.1596    0.9404    0.8521    0.4617    0.5021    0.5351
         5    0.8976    1.1228    1.1574    0.9386    0.8505    0.4609    0.5012    0.5341
         6    0.7618    0.9530    1.0278    0.8335    0.7553    0.4093    0.4451    0.4743
         7    0.6933    0.8672    1.1647    0.9445    0.8559    0.4638    0.5043    0.5374
         8    0.6933    0.8672    1.1647    0.9445    0.8559    0.4638    0.5043    0.5374
         9    0.6933    0.8672    1.1647    0.9445    0.8559    0.4638    0.5043    0.5374
        10    0.6933    0.8672    1.1647    0.9445    0.8559    0.4638    0.5043    0.5374

Avg. F 2-4     0.795     0.994     0.870     0.705     0.639     0.346     0.377     0.401


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0055    0.0050    0.0033    0.0030    0.0033    0.0030    0.0026    0.0023
         1    0.0871    0.0788    0.0523    0.0476    0.0515    0.0482    0.0417    0.0368
         2    0.3676    0.3328    0.2208    0.2010    0.2177    0.2037    0.1761    0.1555
         3    0.6871    0.6220    0.4127    0.3757    0.4068    0.3807    0.3292    0.2907
         4    0.8438    0.7638    0.5068    0.4614    0.4996    0.4675    0.4043    0.3569
         5    0.8422    0.7624    0.5059    0.4605    0.4987    0.4666    0.4036    0.3563
         6    0.7480    0.6770    0.4492    0.4089    0.4429    0.4144    0.3584    0.3164
         7    0.8476    0.7672    0.5091    0.4634    0.5018    0.4696    0.4061    0.3585
         8    0.8476    0.7672    0.5091    0.4634    0.5018    0.4696    0.4061    0.3585
         9    0.8476    0.7672    0.5091    0.4634    0.5018    0.4696    0.4061    0.3585
        10    0.8476    0.7672    0.5091    0.4634    0.5018    0.4696    0.4061    0.3585

Avg. F 2-4     0.633     0.573     0.380     0.346     0.375     0.351     0.303     0.268


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0037    0.0056    0.0045    0.0040    0.0039    0.0038    0.0030    0.0020
         1    0.0581    0.0881    0.0716    0.0641    0.0610    0.0606    0.0481    0.0310
         2    0.2451    0.3721    0.3023    0.2707    0.2575    0.2560    0.2032    0.1309
         3    0.4582    0.6955    0.5650    0.5060    0.4814    0.4784    0.3799    0.2447
         4    0.5627    0.8541    0.6939    0.6215    0.5911    0.5875    0.4665    0.3005
         5    0.5616    0.8525    0.6926    0.6203    0.5900    0.5864    0.4656    0.2999
         6    0.4988    0.7571    0.6151    0.5508    0.5240    0.5208    0.4135    0.2664
         7    0.5652    0.8579    0.6970    0.6242    0.5937    0.5901    0.4685    0.3018
         8    0.5652    0.8579    0.6970    0.6242    0.5937    0.5901    0.4685    0.3018
