Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 18 0 12 250 270 0.181081 26 9 123 0.01087 0.01087 0.0600283 75 0 0.0186131 0 1 1 1 1 9 11 62 9
1981 1 1 18 0 13 300 339 0.346942 0 0 9999 -1 -1 -2.88232 95 0.681762 0.681762 1 1 1 1 1 9 12 63 0
1981 1 1 18 0 13 300 339 0.346942 18 9 130 0.01429 0.01429 0.0411884 95 0.0037259 0.0037259 1 1 1 1 1 9 12 64 9
1981 1 1 18 0 13 300 339 0.346942 19 9 126 0.01357 0.01357 0.0391131 95 0.0681488 0.0472442 1 1 1 1 1 9 12 65 9
1981 1 1 18 0 13 300 339 0.346942 19 10 167 0.03845 0.03845 0.110825 95 0 0.0209046 0 1 1 1 1 9 12 65 10
1981 1 1 18 0 13 300 339 0.346942 20 9 128 0.01144 0.01144 0.0329738 95 0.0342501 0.0342501 1 1 1 1 1 9 12 66 9
1981 1 1 18 0 13 300 339 0.346942 22 9 125 0.0126 0.0126 0.0363173 95 0.0146215 0.0146215 1 1 1 1 1 9 12 67 9
1981 1 1 18 0 13 300 339 0.346942 23 8 83 0.00169 0.00169 0.00487112 95 0.0297885 0.00378229 1 1 1 1 1 9 12 68 8
1981 1 1 18 0 13 300 339 0.346942 23 9 118 0.0045 0.0045 0.0129705 95 0 0.013581 0 1 1 1 1 9 12 68 9
1981 1 1 18 0 13 300 339 0.346942 23 10 167 0.01367 0.01367 0.0394013 95 0 0.00321003 0 1 1 1 1 9 12 68 10
1981 1 1 18 0 13 300 339 0.346942 23 11 220 0.03009 0.03009 0.0867291 95 0 0.00921522 0 1 1 1 1 9 12 68 11
1981 1 1 18 0 13 300 339 0.346942 24 8 86 0.00138 0.00138 0.0039776 95 0.0211069 0.002323 1 1 1 1 1 9 12 69 8
1981 1 1 18 0 13 300 339 0.346942 24 9 120 0.00399 0.00399 0.0115005 95 0 0.016705 0 1 1 1 1 9 12 69 9
1981 1 1 18 0 13 300 339 0.346942 24 10 167 0.01331 0.01331 0.0383637 95 0 0.00207893 0 1 1 1 1 9 12 69 10
1981 1 1 18 0 13 300 339 0.346942 25 8 87 0.0037 0.0037 0.0106646 95 0.0341157 0.0136921 1 1 1 1 1 9 12 70 8
1981 1 1 18 0 13 300 339 0.346942 25 9 116 0.00979 0.00979 0.0282179 95 0 0.0204236 0 1 1 1 1 9 12 70 9
1981 1 1 18 0 13 300 339 0.346942 26 7 53 0.0017 0.0017 0.00489995 95 0.112481 0.00347375 1 1 1 1 1 9 12 71 7
1981 1 1 18 0 13 300 339 0.346942 26 8 85 0.00418 0.00418 0.0120481 95 0 0.0421992 0 1 1 1 1 9 12 71 8
1981 1 1 18 0 13 300 339 0.346942 26 9 123 0.01087 0.01087 0.0313308 95 0 0.0668077 0 1 1 1 1 9 12 71 9
1981 1 1 18 0 14 400 439 0.726121 0 0 9999 -1 -1 -1.37718 68 0.621164 0.621164 1 1 1 1 1 9 13 72 0
1981 1 1 18 0 14 400 439 0.726121 18 9 130 0.01429 0.01429 0.0196799 68 0.00659343 0.00363733 1 1 1 1 1 9 13 73 9
1981 1 1 18 0 14 400 439 0.726121 18 10 167 0.03998 0.03998 0.0550597 68 0 0.0029561 0 1 1 1 1 9 13 73 10
1981 1 1 18 0 14 400 439 0.726121 19 9 126 0.01357 0.01357 0.0186883 68 0.0753717 0.0179124 1 1 1 1 1 9 13 74 9
1981 1 1 18 0 14 400 439 0.726121 19 10 167 0.03845 0.03845 0.0529526 68 0 0.0044608 0 1 1 1 1 9 13 74 10
1981 1 1 18 0 14 400 439 0.726121 19 11 217 0.0805 0.0805 0.110863 68 0 0.0529985 0 1 1 1 1 9 13 74 11
1981 1 1 18 0 14 400 439 0.726121 20 9 128 0.01144 0.01144 0.0157549 68 0.0607507 0.039431 1 1 1 1 1 9 13 75 9
1981 1 1 18 0 14 400 439 0.726121 20 10 167 0.03336 0.03336 0.0459427 68 0 0.0213197 0 1 1 1 1 9 13 75 10
1981 1 1 18 0 14 400 439 0.726121 22 8 86 0.00528 0.00528 0.00727151 68 0.047943 0.00076241 1 1 1 1 1 9 13 76 8
1981 1 1 18 0 14 400 439 0.726121 22 9 125 0.0126 0.0126 0.0173525 68 0 0.0353346 0 1 1 1 1 9 13 76 9
1981 1 1 18 0 14 400 439 0.726121 22 10 167 0.03386 0.03386 0.0466313 68 0 1e-06 0 1 2 1 1 9 13 76 10
1981 1 1 18 0 14 400 439 0.726121 22 11 217 0.06827 0.06827 0.0940201 68 0 1e-06 0 1 2 1 1 9 13 76 11
1981 1 1 18 0 14 400 439 0.726121 22 12 267 0.11761 0.11761 0.16197 68 0 0.0118439 0 1 1 1 1 9 13 76 12
1981 1 1 18 0 14 400 439 0.726121 23 8 83 0.00169 0.00169 0.00232743 68 0.0302425 0.00361434 1 1 1 1 1 9 13 77 8
1981 1 1 18 0 14 400 439 0.726121 23 9 118 0.0045 0.0045 0.00619731 68 0 0.0136171 0 1 1 1 1 9 13 77 9
1981 1 1 18 0 14 400 439 0.726121 23 10 167 0.01367 0.01367 0.0188261 68 0 0.00609892 0 1 1 1 1 9 13 77 10
1981 1 1 18 0 14 400 439 0.726121 23 11 220 0.03009 0.03009 0.0414393 68 0 0.0069121 0 1 1 1 1 9 13 77 11
1981 1 1 18 0 14 400 439 0.726121 24 8 86 0.00138 0.00138 0.00190051 68 0.0225087 0.00842272 1 1 1 1 1 9 13 78 8
1981 1 1 18 0 14 400 439 0.726121 24 9 120 0.00399 0.00399 0.00549495 68 0 0.0121825 0 1 1 1 1 9 13 78 9
1981 1 1 18 0 14 400 439 0.726121 24 10 167 0.01331 0.01331 0.0183303 68 0 0.00190352 0 1 1 1 1 9 13 78 10
1981 1 1 18 0 14 400 439 0.726121 25 8 87 0.0037 0.0037 0.00509557 68 0.0533041 0.0090697 1 1 1 1 1 9 13 79 8
1981 1 1 18 0 14 400 439 0.726121 25 9 116 0.00979 0.00979 0.0134826 68 0 0.0388244 0 1 1 1 1 9 13 79 9
1981 1 1 18 0 14 400 439 0.726121 25 10 167 0.02959 0.02959 0.0407508 68 0 0.00540999 0 1 1 1 1 9 13 79 10
1981 1 1 18 0 14 400 439 0.726121 26 7 53 0.0017 0.0017 0.00234121 68 0.0821217 0.00944262 1 1 1 1 1 9 13 80 7
1981 1 1 18 0 14 400 439 0.726121 26 8 85 0.00418 0.00418 0.00575661 68 0 0.025984 0 1 1 1 1 9 13 80 8
1981 1 1 18 0 14 400 439 0.726121 26 9 123 0.01087 0.01087 0.0149699 68 0 0.0466951 0 1 1 1 1 9 13 80 9
1981 1 1 18 0 15 500 576 1.57771 0 0 9999 -1 -1 -0.63383 89 0.347017 0.347017 1 1 1 1 1 9 14 81 0
1981 1 1 18 0 15 500 576 1.57771 18 9 130 0.01429 0.01429 0.00905744 89 0.0223521 0.00096472 1 1 1 1 1 9 14 82 9
1981 1 1 18 0 15 500 576 1.57771 18 10 167 0.03998 0.03998 0.0253405 89 0 0.00129654 0 1 1 1 1 9 14 82 10
1981 1 1 18 0 15 500 576 1.57771 18 11 217 0.08297 0.08297 0.0525889 89 0 0.00397987 0 1 1 1 1 9 14 82 11
1981 1 1 18 0 15 500 576 1.57771 18 12 267 0.14616 0.14616 0.0926406 89 0 0.0116759 0 1 1 1 1 9 14 82 12
1981 1 1 18 0 15 500 576 1.57771 18 13 367 0.23214 0.23214 0.147137 89 0 0.00443506 0 1 1 1 1 9 14 82 13
1981 1 1 18 0 15 500 576 1.57771 19 9 126 0.01357 0.01357 0.00860108 89 0.201807 0.012804 1 1 1 1 1 9 14 83 9
1981 1 1 18 0 15 500 576 1.57771 19 10 167 0.03845 0.03845 0.0243708 89 0 0.0271116 0 1 1 1 1 9 14 83 10
1981 1 1 18 0 15 500 576 1.57771 19 11 217 0.0805 0.0805 0.0510233 89 0 0.0730306 0 1 1 1 1 9 14 83 11
1981 1 1 18 0 15 500 576 1.57771 19 12 267 0.14282 0.14282 0.0905236 89 0 0.0512383 0 1 1 1 1 9 14 83 12
1981 1 1 18 0 15 500 576 1.57771 19 13 317 0.22814 0.22814 0.144602 89 0 0.0376227 0 1 1 1 1 9 14 83 13
1981 1 1 18 0 15 500 576 1.57771 20 9 128 0.01144 0.01144 0.00725102 89 0.137511 0.0227823 1 1 1 1 1 9 14 84 9
1981 1 1 18 0 15 500 576 1.57771 20 10 167 0.03336 0.03336 0.0211446 89 0 0.0506721 0 1 1 1 1 9 14 84 10
1981 1 1 18 0 15 500 576 1.57771 20 11 217 0.07129 0.07129 0.0451858 89 0 0.0564824 0 1 1 1 1 9 14 84 11
1981 1 1 18 0 15 500 576 1.57771 20 12 267 0.12848 0.12848 0.0814345 89 0 0.00757395 0 1 1 1 1 9 14 84 12
1981 1 1 18 0 15 500 576 1.57771 22 9 125 0.0126 0.0126 0.00798626 89 0.0731781 0.0081557 1 1 1 1 1 9 14 85 9
1981 1 1 18 0 15 500 576 1.57771 22 10 167 0.03386 0.03386 0.0214615 89 0 0.0248544 0 1 1 1 1 9 14 85 10
1981 1 1 18 0 15 500 576 1.57771 22 11 217 0.06827 0.06827 0.0432716 89 0 0.0136554 0 1 1 1 1 9 14 85 11
1981 1 1 18 0 15 500 576 1.57771 22 12 267 0.11761 0.11761 0.0745448 89 0 0.0265125 0 1 1 1 1 9 14 85 12
1981 1 1 18 0 15 500 576 1.57771 23 8 83 0.00169 0.00169 0.00107117 89 0.0698719 0.0076612 1 1 1 1 1 9 14 86 8
1981 1 1 18 0 15 500 576 1.57771 23 9 118 0.0045 0.0045 0.00285224 89 0 0.0134999 0 1 1 1 1 9 14 86 9
1981 1 1 18 0 15 500 576 1.57771 23 10 167 0.01367 0.01367 0.00866446 89 0 0.0173943 0 1 1 1 1 9 14 86 10
1981 1 1 18 0 15 500 576 1.57771 23 11 220 0.03009 0.03009 0.019072 89 0 0.0313165 0 1 1 1 1 9 14 86 11
1981 1 1 18 0 15 500 576 1.57771 24 8 86 0.00138 0.00138 0.000874686 89 0.0034456 2.334e-05 1 1 1 1 1 9 14 87 8
